Course Name;Course Title;Course Code
AI in Healthcare;A I IN HEALTHCARE-WB;A I-380H
Advances in Deep Generative Models;ADV IN DEEP GEN MODELS-WB;A I-395T
Advances in Deep Learning;ADVANCES IN DEEP LEARNING-WB;A I-395T
Automated Logical Reasoning;AUTOMATED LOGICAL REASONING-WB;A I-389L
Case Studies in Machine Learning;CASE STUDIES/MACHINE LEARN-WB;A I-395T
Deep Learning;DEEP LEARNING-WB;A I-394D
Ethics in AI;ETHICS IN AI-WB;A I-395T
Machine Learning;MACHINE LEARNING-WB;A I-391L
Natural Language Processing;NATURAL LANGUAGE PROCESSING-WB;A I-388
Online Learning and Optimization;ONLINE LEARN/OPTIMIZATION-WB;A I-388K
Optimization;OPTIMIZATION-WB;A I-388J
Planning, Search, and Reasoning Under Uncertainty;PLAN/SRCH/REAS UNDR UNCERTY-WB;A I-388U
Reinforcement Learning;REINFRCMNT LEARN: THRY/PRAC-WB;A I-394R
