Course Name;Course Title;Course Code
Advanced Linear Algebra for Computation;NUMERICAL ANLY: LINEAR ALGEBRA;C S-383C
Advanced Operating Systems;ADVANCED OPERATING SYSTEMS;C S-380L
Advances in Deep Generative Models;ADV IN DEEP GEN MODELS-WB;C S-395T
Advances in Deep Learning;ADVANCES IN DEEP LEARNING-WB;C S-395T
Algorithms: Techniques and Theory;ALGORITHMS: TECHNIQUES & THRY;C S-388G
Android Programming;ANDROID PROGRAMMING-WB;C S-386P
Automated Logical Reasoning;AUTOMATED LOGICAL REASONING-WB;C S-389L
Case Studies in Machine Learning;CASE STUDIES/MACHINE LEARN-WB;C S-395T
Deep Learning;DEEP LEARNING-WB;C S-394D
Distributed Systems;DISTRIBUTED SYSTEMS-WB;C S-395T
Implementation of Programming Languages;STRC/IMPLMNTN MDRN PRG LNGS-WB;C S-380I
Introduction to Quantum Information Science;QUANTUM INFORMATION SCIENCE-WB;C S-388Q
Machine Learning;MACHINE LEARNING-WB;C S-391L
Natural Language Processing;NATURAL LANGUAGE PROCESSING-WB;C S-388
Online Learning and Optimization;ONLINE LEARN/OPTIMIZATION-WB;C S-388K
Optimization;OPTIMIZATION-WB;C S-388J
Parallel Systems;PARALLEL SYSTEMS-WB;C S-380P
Planning, Search, and Reasoning Under Uncertainty;PLAN/SRCH/REAS UNDR UNCERTY-WB;C S-388U
Reinforcement Learning;REINFRCMNT LEARN: THRY/PRAC-WB;C S-394R
Virtualization;VIRTUALIZATION-WB;C S-395T
