Course Name;Course Title;Course Code
Advanced Predictive Models;ADV PREDCTV MDLS COMPLX DAT-WB;DSC-W383
Advances in Deep Generative Models;ADVANCES IN DEEP GEN MODELS-WB;DSC-395T
Advances in Deep Learning;ADVANCES IN DEEP LEARNING-WB;DSC-395T
Data Exploration & Visualization;DATA EXPLR/VISUALIZATN-WB;DSC-385
Data Science for Health Discovery and Innovation;DATA SCI HEAL DISCOV/INNOVT-WB;DSC-395T
Data Structures & Algorithms;DATA STRUCTURES/ALGORITHM-WB;DSC-395T
Deep Learning;DEEP LEARNING-WB;DSC-394D
Design Principles & Causal Inference;DSGN PRINCPLS/CAUSAL INFRNC-WB;DSC-384
Machine Learning;PRINCIPLES MACHINE LEARNING-WB;DSC-391L
Natural Language Processing;NATURAL LANGUAGE PROCESSING-WB;DSC-388
Optimization;OPTIMIZATION-WB;DSC-388J
Principles of Data Science;PRINCIPLES OF DATA SCIENCE-WB;DSC-395T
Probability & Inference;PROBABLTY/SIMULTN INFERENCE-WB;DSC-381
Regression & Predictive Modeling;FNDTNS REGRSSION/PRED MODEL-WB;DSC-W382
Reinforcement Learning;REINFORCEMENT LEARNING-WB;DSC-394R
