Semester,Section Number,Course Prefix,Course Number,Course Title,Course,Letter Grade,Count of letter grade,Department/Program
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",Other,42,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",F,3,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",D,1,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",D+,3,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",C-,1,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",C,5,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",C+,1,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",B-,5,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",B,13,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",B+,6,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",A-,20,Computer Science
Fall 2020,50695,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50695",A,98,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",Other,42,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",F,2,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",D,1,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",D+,1,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",C-,2,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",C,1,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",C+,2,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",B-,6,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",B,12,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",B+,8,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",A-,10,Computer Science
Fall 2020,50700,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50700",A,112,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",Other,49,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",F,1,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",D,2,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",D+,1,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",C-,3,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",C+,1,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",B-,2,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",B,7,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",B+,5,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",A-,11,Computer Science
Fall 2020,50705,C S, 303E,ELEMS OF COMPTRS/PROGRAMMNG-WB,"C S-303E: ELEMS OF COMPTRS/PROGRAMMNG-WB, Section no. 50705",A,118,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",Other,15,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",F,1,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",C-,1,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",B-,1,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",B+,1,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",A-,7,Computer Science
Fall 2020,50710,C S, 104C,COMPETITIVE PROGRAMMING-WB,"C S-104C: COMPETITIVE PROGRAMMING-WB, Section no. 50710",A,55,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",Other,8,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",C,1,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",C+,1,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",B,1,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",B+,1,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",A-,2,Computer Science
Fall 2020,50715,C S, 105C,COMPUTER PROGRAMMING: C++-WB,"C S-105C: COMPUTER PROGRAMMING: C++-WB, Section no. 50715",A,1,Computer Science
Fall 2020,50720,C S, 109,COMPUTER PROGRAMMNG: PYTHON-WB,"C S-109: COMPUTER PROGRAMMNG: PYTHON-WB, Section no. 50720",Other,6,Computer Science
Fall 2020,50720,C S, 109,COMPUTER PROGRAMMNG: PYTHON-WB,"C S-109: COMPUTER PROGRAMMNG: PYTHON-WB, Section no. 50720",F,1,Computer Science
Fall 2020,50720,C S, 109,COMPUTER PROGRAMMNG: PYTHON-WB,"C S-109: COMPUTER PROGRAMMNG: PYTHON-WB, Section no. 50720",D+,2,Computer Science
Fall 2020,50720,C S, 109,COMPUTER PROGRAMMNG: PYTHON-WB,"C S-109: COMPUTER PROGRAMMNG: PYTHON-WB, Section no. 50720",B,2,Computer Science
Fall 2020,50720,C S, 109,COMPUTER PROGRAMMNG: PYTHON-WB,"C S-109: COMPUTER PROGRAMMNG: PYTHON-WB, Section no. 50720",B+,1,Computer Science
Fall 2020,50720,C S, 109,COMPUTER PROGRAMMNG: PYTHON-WB,"C S-109: COMPUTER PROGRAMMNG: PYTHON-WB, Section no. 50720",A,24,Computer Science
Fall 2020,50725,C S, 309,ENERGY ANALYTICS-FRI-WB,"C S-309: ENERGY ANALYTICS-FRI-WB, Section no. 50725",Other,1,Computer Science
Fall 2020,50725,C S, 309,ENERGY ANALYTICS-FRI-WB,"C S-309: ENERGY ANALYTICS-FRI-WB, Section no. 50725",F,1,Computer Science
Fall 2020,50725,C S, 309,ENERGY ANALYTICS-FRI-WB,"C S-309: ENERGY ANALYTICS-FRI-WB, Section no. 50725",A,31,Computer Science
Fall 2020,50730,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50730",C-,1,Computer Science
Fall 2020,50730,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50730",B-,1,Computer Science
Fall 2020,50730,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50730",B,3,Computer Science
Fall 2020,50730,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50730",B+,2,Computer Science
Fall 2020,50730,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50730",A-,8,Computer Science
Fall 2020,50730,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50730",A,8,Computer Science
Fall 2020,50735,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50735",F,1,Computer Science
Fall 2020,50735,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50735",A-,9,Computer Science
Fall 2020,50735,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50735",A,12,Computer Science
Fall 2020,50740,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50740",Other,2,Computer Science
Fall 2020,50740,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50740",C+,1,Computer Science
Fall 2020,50740,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50740",B+,2,Computer Science
Fall 2020,50740,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50740",A-,7,Computer Science
Fall 2020,50740,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50740",A,10,Computer Science
Fall 2020,50745,C S, 311,DISCRETE MATH COMPTR SCI-WB,"C S-311: DISCRETE MATH COMPTR SCI-WB, Section no. 50745",C,1,Computer Science
