Semester,Course Name,Letter Grade,Count of letter grade
Fall 2020,Android Programming,A,92
Fall 2020,Android Programming,A-,17
Fall 2020,Android Programming,B+,6
Fall 2020,Android Programming,B-,2
Fall 2020,Android Programming,C+,1
Fall 2020,Android Programming,C,2
Fall 2020,Android Programming,D-,1
Fall 2020,Android Programming,F,3
Fall 2020,Android Programming,Other,14
Fall 2020,Deep Learning,A,38
Fall 2020,Deep Learning,A-,7
Fall 2020,Deep Learning,B+,4
Fall 2020,Deep Learning,B,1
Fall 2020,Deep Learning,B-,2
Fall 2020,Deep Learning,C-,1
Fall 2020,Deep Learning,D-,1
Fall 2020,Deep Learning,F,7
Fall 2020,Deep Learning,Other,16
Fall 2020,Machine Learning,A,17
Fall 2020,Machine Learning,A,20
Fall 2020,Machine Learning,A-,11
Fall 2020,Machine Learning,A-,14
Fall 2020,Machine Learning,B+,3
Fall 2020,Machine Learning,B+,25
Fall 2020,Machine Learning,B,12
Fall 2020,Machine Learning,B-,1
Fall 2020,Machine Learning,C+,3
Fall 2020,Machine Learning,C,3
Fall 2020,Machine Learning,D+,1
Fall 2020,Machine Learning,D,3
Fall 2020,Machine Learning,Other,1
Fall 2020,Machine Learning,Other,15
Fall 2020,Natural Language Processing,A,37
Fall 2020,Natural Language Processing,A-,23
Fall 2020,Natural Language Processing,B+,6
Fall 2020,Natural Language Processing,B,2
Fall 2020,Natural Language Processing,B-,2
Fall 2020,Natural Language Processing,C+,2
Fall 2020,Natural Language Processing,Other,7
Fall 2020,Optimization,A,18
Fall 2020,Optimization,A-,27
Fall 2020,Optimization,B+,2
Fall 2020,Optimization,B,19
Fall 2020,Optimization,B-,2
Fall 2020,Optimization,C+,4
Fall 2020,Optimization,F,2
Fall 2020,Optimization,Other,8
Fall 2020,Parallel Systems,A,56
Fall 2020,Parallel Systems,B,11
Fall 2020,Parallel Systems,C,3
Fall 2020,Parallel Systems,F,2
Fall 2020,Parallel Systems,Other,19
Fall 2020,Virtualization,A,65
Fall 2020,Virtualization,A-,4
Fall 2020,Virtualization,B+,1
Fall 2020,Virtualization,C,2
Fall 2020,Virtualization,Other,11
Spring 2021,Automated Logical Reasoning,A,20
Spring 2021,Automated Logical Reasoning,A-,10
Spring 2021,Automated Logical Reasoning,B+,3
Spring 2021,Automated Logical Reasoning,B,4
Spring 2021,Automated Logical Reasoning,C+,1
Spring 2021,Automated Logical Reasoning,Other,1
Spring 2021,Deep Learning,A,25
Spring 2021,Deep Learning,A-,8
Spring 2021,Deep Learning,B+,2
Spring 2021,Deep Learning,B,1
Spring 2021,Deep Learning,C,1
Spring 2021,Deep Learning,F,4
Spring 2021,Deep Learning,Other,14
Spring 2021,Machine Learning,A,74
Spring 2021,Machine Learning,B,41
Spring 2021,Machine Learning,B-,10
Spring 2021,Machine Learning,C,10
Spring 2021,Machine Learning,Other,29
Spring 2021,Natural Language Processing,A,18
Spring 2021,Natural Language Processing,A,40
Spring 2021,Natural Language Processing,A,147
Spring 2021,Natural Language Processing,A-,3
Spring 2021,Natural Language Processing,A-,5
Spring 2021,Natural Language Processing,A-,9
Spring 2021,Natural Language Processing,B+,1
Spring 2021,Natural Language Processing,B+,2
Spring 2021,Natural Language Processing,B+,5
Spring 2021,Natural Language Processing,B,3
Spring 2021,Natural Language Processing,B,6
Spring 2021,Natural Language Processing,B-,4
Spring 2021,Natural Language Processing,B-,3
Spring 2021,Natural Language Processing,C+,1
Spring 2021,Natural Language Processing,F,1
Spring 2021,Natural Language Processing,F,4
Spring 2021,Natural Language Processing,Other,25
Spring 2021,Natural Language Processing,Other,2
Spring 2021,Natural Language Processing,Other,16
Spring 2021,Reinforcement Learning,A,19
Spring 2021,Reinforcement Learning,A-,22
Spring 2021,Reinforcement Learning,B+,19
Spring 2021,Reinforcement Learning,B,14
Spring 2021,Reinforcement Learning,B-,15
Spring 2021,Reinforcement Learning,C+,3
Spring 2021,Reinforcement Learning,C,4
Spring 2021,Reinforcement Learning,D,1
Spring 2021,Reinforcement Learning,F,3
Spring 2021,Reinforcement Learning,Other,17
Summer 2021,Deep Learning,A,134
Summer 2021,Deep Learning,A-,11
Summer 2021,Deep Learning,B+,8
Summer 2021,Deep Learning,B,3
Summer 2021,Deep Learning,B-,1
Summer 2021,Deep Learning,C,1
Summer 2021,Deep Learning,F,5
Summer 2021,Deep Learning,Other,28
Summer 2021,Machine Learning,A,14
Summer 2021,Machine Learning,A-,15
Summer 2021,Machine Learning,B+,12
Summer 2021,Machine Learning,B,18
Summer 2021,Machine Learning,B-,8
Summer 2021,Machine Learning,C+,1
Summer 2021,Machine Learning,C,5
Summer 2021,Machine Learning,F,1
Summer 2021,Machine Learning,Other,22
Fall 2021,Advanced Linear Algebra for Computation,A,3
Fall 2021,Advanced Linear Algebra for Computation,A-,1
Fall 2021,Advanced Linear Algebra for Computation,B+,3
Fall 2021,Advanced Linear Algebra for Computation,Other,1
Fall 2021,Algorithms: Techniques and Theory,A,6
Fall 2021,Algorithms: Techniques and Theory,A-,4
Fall 2021,Algorithms: Techniques and Theory,B+,1
Fall 2021,Algorithms: Techniques and Theory,B,3
Fall 2021,Algorithms: Techniques and Theory,Other,2
Fall 2021,Deep Learning,A,54
Fall 2021,Deep Learning,A-,39
Fall 2021,Deep Learning,B+,18
Fall 2021,Deep Learning,B,11
Fall 2021,Deep Learning,C+,1
Fall 2021,Deep Learning,C,1
Fall 2021,Deep Learning,D+,1
Fall 2021,Deep Learning,D,1
Fall 2021,Deep Learning,D-,1
Fall 2021,Deep Learning,F,13
Fall 2021,Deep Learning,Other,24
Fall 2021,Machine Learning,A,35
Fall 2021,Machine Learning,A-,16
Fall 2021,Machine Learning,B+,33
Fall 2021,Machine Learning,B,29
Fall 2021,Machine Learning,B-,6
Fall 2021,Machine Learning,C,11
Fall 2021,Machine Learning,D,2
Fall 2021,Machine Learning,F,4
Fall 2021,Machine Learning,Other,46
Fall 2021,Natural Language Processing,A,157
Fall 2021,Natural Language Processing,A-,7
Fall 2021,Natural Language Processing,B+,6
Fall 2021,Natural Language Processing,B,2
Fall 2021,Natural Language Processing,B-,4
Fall 2021,Natural Language Processing,C+,4
Fall 2021,Natural Language Processing,C,2
Fall 2021,Natural Language Processing,C-,3
Fall 2021,Natural Language Processing,D+,1
Fall 2021,Natural Language Processing,D,1
Fall 2021,Natural Language Processing,F,10
Fall 2021,Natural Language Processing,Other,36
Fall 2021,Optimization,A,26
Fall 2021,Optimization,A-,22
Fall 2021,Optimization,B+,16
Fall 2021,Optimization,B,1
Fall 2021,Optimization,B-,2
Fall 2021,Optimization,C,3
Fall 2021,Optimization,F,3
Fall 2021,Optimization,Other,8
Fall 2021,Parallel Systems,A,74
Fall 2021,Parallel Systems,A-,12
Fall 2021,Parallel Systems,B+,2
Fall 2021,Parallel Systems,B,20
Fall 2021,Parallel Systems,B-,1
Fall 2021,Parallel Systems,C,1
Fall 2021,Parallel Systems,Other,42
Fall 2021,Virtualization,A,111
Fall 2021,Virtualization,A-,18
Fall 2021,Virtualization,B+,3
Fall 2021,Virtualization,B,1
Fall 2021,Virtualization,F,5
Fall 2021,Virtualization,Other,18
Spring 2022,Advanced Operating Systems,A,10
Spring 2022,Advanced Operating Systems,B,7
Spring 2022,Advanced Operating Systems,Other,1
Spring 2022,Algorithms: Techniques and Theory,A,9
Spring 2022,Algorithms: Techniques and Theory,A-,18
Spring 2022,Algorithms: Techniques and Theory,B+,3
Spring 2022,Algorithms: Techniques and Theory,B-,1
Spring 2022,Algorithms: Techniques and Theory,Other,5
Spring 2022,Automated Logical Reasoning,A,28
Spring 2022,Automated Logical Reasoning,A-,15
Spring 2022,Automated Logical Reasoning,B+,28
Spring 2022,Automated Logical Reasoning,B,16
Spring 2022,Automated Logical Reasoning,B-,11
Spring 2022,Automated Logical Reasoning,C+,1
Spring 2022,Automated Logical Reasoning,C,1
Spring 2022,Automated Logical Reasoning,F,3
Spring 2022,Automated Logical Reasoning,Other,12
Spring 2022,Deep Learning,A,29
Spring 2022,Deep Learning,A-,17
Spring 2022,Deep Learning,B+,6
Spring 2022,Deep Learning,B,1
Spring 2022,Deep Learning,C+,1
Spring 2022,Deep Learning,C,1
Spring 2022,Deep Learning,C-,2
Spring 2022,Deep Learning,D+,1
Spring 2022,Deep Learning,D,1
Spring 2022,Deep Learning,F,7
Spring 2022,Deep Learning,Other,17
Spring 2022,Introduction to Quantum Information Science,A,21
Spring 2022,Introduction to Quantum Information Science,A-,23
Spring 2022,Introduction to Quantum Information Science,B+,13
Spring 2022,Introduction to Quantum Information Science,B,24
Spring 2022,Introduction to Quantum Information Science,B-,24
Spring 2022,Introduction to Quantum Information Science,C+,17
Spring 2022,Introduction to Quantum Information Science,C,17
Spring 2022,Introduction to Quantum Information Science,C-,7
Spring 2022,Introduction to Quantum Information Science,D+,1
Spring 2022,Introduction to Quantum Information Science,D,3
Spring 2022,Introduction to Quantum Information Science,F,9
Spring 2022,Introduction to Quantum Information Science,Other,49
Spring 2022,Machine Learning,A,35
Spring 2022,Machine Learning,A-,3
Spring 2022,Machine Learning,B+,12
Spring 2022,Machine Learning,B,16
Spring 2022,Machine Learning,C+,2
Spring 2022,Machine Learning,C,3
Spring 2022,Machine Learning,Other,22
Spring 2022,Optimization,A,12
Spring 2022,Optimization,A-,17
Spring 2022,Optimization,B+,15
Spring 2022,Optimization,B-,1
Spring 2022,Optimization,C,1
Spring 2022,Optimization,D,1
Spring 2022,Optimization,F,2
Spring 2022,Optimization,Other,3
Summer 2022,Machine Learning,A,14
Summer 2022,Machine Learning,A-,4
Summer 2022,Machine Learning,B+,5
Summer 2022,Machine Learning,B,5
Summer 2022,Machine Learning,D-,1
Summer 2022,Machine Learning,F,1
Summer 2022,Machine Learning,Other,8
Fall 2022,Advanced Linear Algebra for Computation,A,4
Fall 2022,Advanced Linear Algebra for Computation,A-,4
Fall 2022,Advanced Linear Algebra for Computation,B+,3
Fall 2022,Advanced Linear Algebra for Computation,Other,1
Fall 2022,Advanced Operating Systems,A,20
Fall 2022,Advanced Operating Systems,B,16
Fall 2022,Advanced Operating Systems,Other,4
Fall 2022,Algorithms: Techniques and Theory,A,10
Fall 2022,Algorithms: Techniques and Theory,A-,3
Fall 2022,Algorithms: Techniques and Theory,B+,7
Fall 2022,Algorithms: Techniques and Theory,B,2
Fall 2022,Algorithms: Techniques and Theory,Other,8
Fall 2022,Android Programming,A,253
Fall 2022,Android Programming,A-,15
Fall 2022,Android Programming,B+,10
Fall 2022,Android Programming,B,4
Fall 2022,Android Programming,B-,2
Fall 2022,Android Programming,C+,5
Fall 2022,Android Programming,C,1
Fall 2022,Android Programming,C-,1
Fall 2022,Android Programming,D,1
Fall 2022,Android Programming,D-,1
Fall 2022,Android Programming,F,7
Fall 2022,Android Programming,Other,59
Fall 2022,Case Studies in Machine Learning,A,172
Fall 2022,Case Studies in Machine Learning,B+,10
Fall 2022,Case Studies in Machine Learning,B,10
Fall 2022,Case Studies in Machine Learning,F,3
Fall 2022,Case Studies in Machine Learning,Other,10
Fall 2022,Deep Learning,A,30
Fall 2022,Deep Learning,A-,21
Fall 2022,Deep Learning,B+,21
Fall 2022,Deep Learning,B,15
Fall 2022,Deep Learning,C+,1
Fall 2022,Deep Learning,C,3
Fall 2022,Deep Learning,C-,1
Fall 2022,Deep Learning,D+,1
Fall 2022,Deep Learning,F,4
Fall 2022,Deep Learning,Other,21
Fall 2022,Machine Learning,A,13
Fall 2022,Machine Learning,A-,7
Fall 2022,Machine Learning,B+,8
Fall 2022,Machine Learning,B,10
Fall 2022,Machine Learning,C+,1
Fall 2022,Machine Learning,C,1
Fall 2022,Machine Learning,D+,4
Fall 2022,Machine Learning,D,1
