Semester,Course Name,Letter Grade,Count of letter grade
Spring 2021,Deep Learning,A,1
Spring 2021,Deep Learning,A-,1
Spring 2021,Deep Learning,B+,1
Spring 2021,Deep Learning,C+,1
Spring 2021,Deep Learning,Other,6
Spring 2021,Machine Learning,A,38
Spring 2021,Machine Learning,B,26
Spring 2021,Machine Learning,B-,9
Spring 2021,Machine Learning,C,5
Spring 2021,Machine Learning,Other,32
Spring 2021,Natural Language Processing,A,7
Spring 2021,Natural Language Processing,A-,1
Spring 2021,Natural Language Processing,B,1
Spring 2021,Natural Language Processing,B-,1
Spring 2021,Natural Language Processing,Other,8
Summer 2021,Deep Learning,A,16
Summer 2021,Deep Learning,A-,5
Summer 2021,Deep Learning,B+,3
Summer 2021,Deep Learning,B,1
Summer 2021,Deep Learning,B-,2
Summer 2021,Deep Learning,D-,1
Summer 2021,Deep Learning,F,2
Summer 2021,Deep Learning,Other,15
Summer 2021,Machine Learning,A,4
Summer 2021,Machine Learning,A-,4
Summer 2021,Machine Learning,B+,3
Summer 2021,Machine Learning,B,3
Summer 2021,Machine Learning,C+,1
Summer 2021,Machine Learning,D,1
Summer 2021,Machine Learning,F,1
Summer 2021,Machine Learning,Other,4
Summer 2021,Regression & Predictive Modeling,A,151
Summer 2021,Regression & Predictive Modeling,A-,12
Summer 2021,Regression & Predictive Modeling,B+,7
Summer 2021,Regression & Predictive Modeling,B,5
Summer 2021,Regression & Predictive Modeling,B-,2
Summer 2021,Regression & Predictive Modeling,C+,1
Summer 2021,Regression & Predictive Modeling,C,1
Summer 2021,Regression & Predictive Modeling,D,1
Summer 2021,Regression & Predictive Modeling,D-,2
Summer 2021,Regression & Predictive Modeling,F,4
Summer 2021,Regression & Predictive Modeling,Other,22
Fall 2021,Deep Learning,A,3
Fall 2021,Deep Learning,A-,3
Fall 2021,Deep Learning,B+,1
Fall 2021,Deep Learning,B,2
Fall 2021,Deep Learning,C,1
Fall 2021,Deep Learning,C-,1
Fall 2021,Deep Learning,D+,1
Fall 2021,Deep Learning,F,2
Fall 2021,Deep Learning,Other,3
Fall 2021,Design Principles & Causal Inference,A,25
Fall 2021,Design Principles & Causal Inference,A-,25
Fall 2021,Design Principles & Causal Inference,B+,40
Fall 2021,Design Principles & Causal Inference,B,17
Fall 2021,Design Principles & Causal Inference,B-,20
Fall 2021,Design Principles & Causal Inference,C,14
Fall 2021,Design Principles & Causal Inference,D,9
Fall 2021,Design Principles & Causal Inference,F,8
Fall 2021,Design Principles & Causal Inference,Other,19
Fall 2021,Machine Learning,A,27
Fall 2021,Machine Learning,A-,11
Fall 2021,Machine Learning,B+,18
Fall 2021,Machine Learning,B,23
Fall 2021,Machine Learning,B-,3
Fall 2021,Machine Learning,C,10
Fall 2021,Machine Learning,C-,2
Fall 2021,Machine Learning,Other,30
Fall 2021,Natural Language Processing,A,36
Fall 2021,Natural Language Processing,A-,3
Fall 2021,Natural Language Processing,B,1
Fall 2021,Natural Language Processing,B-,1
Fall 2021,Natural Language Processing,C+,1
Fall 2021,Natural Language Processing,C,1
Fall 2021,Natural Language Processing,C-,1
Fall 2021,Natural Language Processing,F,4
Fall 2021,Natural Language Processing,Other,12
Fall 2021,Optimization,A,18
Fall 2021,Optimization,A-,15
Fall 2021,Optimization,B+,4
Fall 2021,Optimization,B,3
Fall 2021,Optimization,B-,1
Fall 2021,Optimization,F,2
Fall 2021,Optimization,Other,5
Fall 2021,Probability & Inference,A,163
Fall 2021,Probability & Inference,A-,51
Fall 2021,Probability & Inference,B+,46
Fall 2021,Probability & Inference,B,31
Fall 2021,Probability & Inference,B-,24
Fall 2021,Probability & Inference,C+,11
Fall 2021,Probability & Inference,C,12
Fall 2021,Probability & Inference,C-,4
Fall 2021,Probability & Inference,D+,5
Fall 2021,Probability & Inference,D,4
Fall 2021,Probability & Inference,D-,1
Fall 2021,Probability & Inference,F,31
Fall 2021,Probability & Inference,Other,61
Spring 2022,Advanced Predictive Models,A,20
Spring 2022,Advanced Predictive Models,A-,2
Spring 2022,Advanced Predictive Models,B,4
Spring 2022,Advanced Predictive Models,B-,4
Spring 2022,Advanced Predictive Models,F,2
Spring 2022,Advanced Predictive Models,Other,3
Spring 2022,Data Exploration & Visualization,A,302
Spring 2022,Data Exploration & Visualization,B,23
Spring 2022,Data Exploration & Visualization,C,7
Spring 2022,Data Exploration & Visualization,F,7
Spring 2022,Data Exploration & Visualization,Other,11
Spring 2022,Deep Learning,A,7
Spring 2022,Deep Learning,A-,2
Spring 2022,Deep Learning,B,1
Spring 2022,Deep Learning,C,1
Spring 2022,Deep Learning,F,2
Spring 2022,Deep Learning,Other,2
Spring 2022,Machine Learning,A,7
Spring 2022,Machine Learning,B+,1
Spring 2022,Machine Learning,B,3
Spring 2022,Machine Learning,Other,8
Spring 2022,Optimization,A-,4
Spring 2022,Optimization,B+,3
Spring 2022,Regression & Predictive Modeling,A,105
Spring 2022,Regression & Predictive Modeling,B,12
Spring 2022,Regression & Predictive Modeling,D,4
Spring 2022,Regression & Predictive Modeling,Other,25
Summer 2022,Advanced Predictive Models,A,82
Summer 2022,Advanced Predictive Models,A-,12
Summer 2022,Advanced Predictive Models,B+,11
Summer 2022,Advanced Predictive Models,B,25
Summer 2022,Advanced Predictive Models,B-,2
Summer 2022,Advanced Predictive Models,F,1
Summer 2022,Advanced Predictive Models,Other,33
Summer 2022,Design Principles & Causal Inference,A,12
Summer 2022,Design Principles & Causal Inference,A-,13
Summer 2022,Design Principles & Causal Inference,B+,14
Summer 2022,Design Principles & Causal Inference,B,2
Summer 2022,Design Principles & Causal Inference,B-,3
Summer 2022,Design Principles & Causal Inference,Other,13
Summer 2022,Machine Learning,A,25
Summer 2022,Machine Learning,A-,4
Summer 2022,Machine Learning,B+,5
Summer 2022,Machine Learning,B,5
Summer 2022,Machine Learning,C+,1
Summer 2022,Machine Learning,D+,1
Summer 2022,Machine Learning,Other,6
Summer 2022,Regression & Predictive Modeling,A,160
Summer 2022,Regression & Predictive Modeling,A-,25
Summer 2022,Regression & Predictive Modeling,B+,14
Summer 2022,Regression & Predictive Modeling,B,9
Summer 2022,Regression & Predictive Modeling,B-,7
Summer 2022,Regression & Predictive Modeling,C+,4
Summer 2022,Regression & Predictive Modeling,C,1
Summer 2022,Regression & Predictive Modeling,D-,1
Summer 2022,Regression & Predictive Modeling,F,5
Summer 2022,Regression & Predictive Modeling,Other,33
Fall 2022,Data Exploration & Visualization,A,267
Fall 2022,Data Exploration & Visualization,B,10
Fall 2022,Data Exploration & Visualization,C,8
Fall 2022,Data Exploration & Visualization,D,1
Fall 2022,Data Exploration & Visualization,F,3
Fall 2022,Data Exploration & Visualization,Other,11
Fall 2022,Data Structures & Algorithms,A,54
Fall 2022,Data Structures & Algorithms,A-,47
Fall 2022,Data Structures & Algorithms,B+,17
Fall 2022,Data Structures & Algorithms,B,19
Fall 2022,Data Structures & Algorithms,B-,8
Fall 2022,Data Structures & Algorithms,C+,15
Fall 2022,Data Structures & Algorithms,C,15
Fall 2022,Data Structures & Algorithms,Other,97
Fall 2022,Deep Learning,A,20
Fall 2022,Deep Learning,A-,10
Fall 2022,Deep Learning,B+,9
Fall 2022,Deep Learning,B,7
Fall 2022,Deep Learning,C+,2
Fall 2022,Deep Learning,C-,1
Fall 2022,Deep Learning,Other,10
Fall 2022,Design Principles & Causal Inference,A,27
Fall 2022,Design Principles & Causal Inference,A-,39
Fall 2022,Design Principles & Causal Inference,B+,29
Fall 2022,Design Principles & Causal Inference,B,18
Fall 2022,Design Principles & Causal Inference,B-,7
Fall 2022,Design Principles & Causal Inference,C,2
Fall 2022,Design Principles & Causal Inference,Other,16
Fall 2022,Machine Learning,A,29
Fall 2022,Machine Learning,A-,20
Fall 2022,Machine Learning,B+,15
Fall 2022,Machine Learning,B,26
Fall 2022,Machine Learning,D+,1
Fall 2022,Machine Learning,D,2
Fall 2022,Machine Learning,F,1
Fall 2022,Machine Learning,Other,12
Fall 2022,Natural Language Processing,A,39
Fall 2022,Natural Language Processing,A-,24
Fall 2022,Natural Language Processing,B+,13
Fall 2022,Natural Language Processing,B,6
Fall 2022,Natural Language Processing,B-,3
Fall 2022,Natural Language Processing,C+,1
Fall 2022,Natural Language Processing,C,3
Fall 2022,Natural Language Processing,C-,2
Fall 2022,Natural Language Processing,F,1
Fall 2022,Natural Language Processing,Other,12
Fall 2022,Optimization,A,7
Fall 2022,Optimization,A-,16
Fall 2022,Optimization,B+,2
Fall 2022,Optimization,B,12
Fall 2022,Optimization,B-,1
Fall 2022,Optimization,C+,2
Fall 2022,Optimization,C,3
Fall 2022,Optimization,D,2
Fall 2022,Optimization,Other,3
Fall 2022,Probability & Inference,A,92
Fall 2022,Probability & Inference,A-,36
Fall 2022,Probability & Inference,B+,26
Fall 2022,Probability & Inference,B,18
Fall 2022,Probability & Inference,B-,12
Fall 2022,Probability & Inference,C+,6
Fall 2022,Probability & Inference,C,11
Fall 2022,Probability & Inference,C-,2
Fall 2022,Probability & Inference,D+,2
Fall 2022,Probability & Inference,D,6
Fall 2022,Probability & Inference,F,12
Fall 2022,Probability & Inference,Other,20
Spring 2023,Advanced Predictive Models,A,111
